Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000202,Ipswich,107845,8636,9562,10877,9963,9124,9425,8991,8184,7223,7137,5239,4362,3880,3231,2011
England and Wales District,E06000046,Isle of Wight,115530,8190,6808,6690,6340,7313,9523,10017,9307,9207,10994,9742,7370,6048,4724,3257
England and Wales District,E06000053,Isles of Scilly,1846,56,111,135,127,130,170,175,155,142,172,164,107,81,84,37
England and Wales District,E09000019,Islington,174447,10800,20453,29744,24867,17490,15076,13367,10173,7901,7228,5395,4490,3478,2542,1443
England and Wales District,E09000020,Kensington and Chelsea,134476,6475,11322,16602,18345,14400,12432,11376,9475,7686,8176,6271,4657,3262,2458,1539
England and Wales District,E07000153,Kettering,75234,5493,4993,5797,5940,6748,7432,7041,5870,5448,6214,4687,3418,2700,2069,1384
England and Wales District,E06000010,"Kingston upon Hull, City of",209654,17416,24040,20274,17303,17229,17576,18022,15949,13746,13844,9635,8666,7322,5466,3166
England and Wales District,E09000021,Kingston upon Thames,130383,9864,13505,12358,13356,13407,12157,11126,9504,7972,7982,5694,4547,3753,3022,2136
England and Wales District,E08000034,Kirklees,339216,27547,28826,27475,26954,28285,31654,30260,26926,24001,25845,19323,15712,12091,9001,5316
England and Wales District,E08000011,Knowsley,118584,10123,9846,9229,8166,8694,10509,11500,10986,8984,8209,6164,5780,5147,3559,1688
England and Wales District,E09000022,Lambeth,250346,14058,26702,43135,37005,27198,23088,20897,15601,11372,9012,6623,5994,4438,3287,1936
England and Wales District,E07000121,Lancaster,115773,11273,13194,7969,7366,7645,9280,9626,8659,7850,8735,7186,6070,4922,3650,2348
England and Wales District,E08000035,Leeds,617911,52835,71874,59860,53456,50021,52285,50442,44050,38294,40178,30220,26235,22229,16332,9600
England and Wales District,E06000016,Leicester,262813,24490,35406,29571,25272,21955,20940,20240,18953,16501,14056,9977,8911,7321,5615,3605
England and Wales District,E07000063,Lewes,80368,5579,4679,4596,4534,5478,6895,7498,6652,6391,7214,5981,4908,4271,3460,2232
England and Wales District,E09000023,Lewisham,220738,16127,20883,26465,28663,24213,21919,20481,15750,11523,9789,7284,6357,5113,3900,2271
England and Wales District,E07000194,Lichfield,83446,5888,5232,5013,5291,6340,7619,7832,6782,6459,7525,6893,5061,3570,2460,1481
England and Wales District,E07000138,Lincoln,78445,7706,11198,7915,6363,5582,5901,6181,5384,4746,4874,3709,3004,2472,2075,1335
England and Wales District,E08000012,Liverpool,391324,34572,50636,39966,33053,28069,30893,32022,29288,25364,24418,17685,16342,13967,9742,5307
England and Wales District,E06000032,Luton,158257,13561,16621,18812,16064,14066,13796,13538,11225,9267,8346,6542,6102,5032,3408,1877
England and Wales District,E07000110,Maidstone,126133,9271,8633,9641,9582,10212,11910,11852,10300,9246,10201,7997,6272,4993,3738,2285
England and Wales District,E07000074,Maldon,51012,3562,2883,2480,2833,3707,4890,4835,4611,4339,5101,4027,2949,2317,1562,916
England and Wales District,E07000235,Malvern Hills,62313,4818,3146,2919,2939,3849,5157,5705,5428,5144,6157,5095,4179,3369,2627,1781
England and Wales District,E08000003,Manchester,409165,38302,66998,56595,45004,33970,32466,28637,23927,19633,18236,13191,11576,9378,7026,4226
England and Wales District,E07000174,Mansfield,86041,6536,6518,6799,6291,6535,7679,8164,7325,6438,6513,5450,4203,3462,2601,1527
England and Wales District,E06000035,Medway,212477,19031,19041,17581,17246,17313,19762,19699,17205,14632,15454,11597,9055,6997,4949,2915
England and Wales District,E07000133,Melton,41472,2984,2535,2537,2592,2996,4032,4272,3648,3357,3662,2826,2149,1731,1288,863
England and Wales District,E07000187,Mendip,89387,7590,5359,5114,5100,6284,8167,8625,7763,7227,7956,6210,4839,4001,3063,2089
England and Wales District,W06000024,Merthyr Tydfil,48168,3824,3959,4170,3417,3409,4281,4363,4068,3510,3780,2895,2436,1931,1350,775
England and Wales District,E09000024,Merton,161810,10409,12452,19877,20904,17255,15504,14039,11294,9349,8777,6374,5506,4524,3441,2105
England and Wales District,E07000042,Mid Devon,63536,4656,3675,3888,3710,4487,5651,5954,5436,5143,5831,4797,3715,2880,2283,1430
England and Wales District,E07000203,Mid Suffolk,79309,5629,4537,4585,4770,5729,7103,7488,6894,6436,7546,6036,4601,3639,2641,1675
England and Wales District,E07000228,Mid Sussex,113114,8225,6490,7510,8043,9451,11006,11114,9536,8617,9288,7356,5448,4726,3879,2425
England and Wales District,E06000002,Middlesbrough,111413,10064,11690,9765,8295,8135,8984,9899,9233,7933,7531,5680,5153,4278,3115,1658
Scotland District,S12000019,Midlothian,68500,5200,4800,4400,4700,5300,6400,6500,6100,5400,5800,4300,3500,2800,3300,0
England and Wales District,E06000042,Milton Keynes,195461,14720,14056,19596,20960,19498,19090,17930,16011,14099,13169,8872,6595,4884,3610,2371
England and Wales District,E07000210,Mole Valley,69710,5012,3559,3753,4330,5269,6502,7019,6191,5452,5930,4957,3915,3457,2660,1704
England and Wales District,W06000021,Monmouthshire,75337,5729,4311,3812,4067,5075,6836,7641,6539,6281,6897,5630,4440,3718,2678,1683
Scotland District,S12000020,Moray,77400,5900,5000,5300,5100,5700,7000,7200,6600,6000,6400,5100,4300,3500,4300,0
England and Wales District,W06000012,Neath Port Talbot,115720,8520,8112,8702,8311,8540,9759,10380,9758,9261,9483,7641,6221,4901,3836,2295
England and Wales District,E07000091,New Forest,147042,9726,8146,7544,7840,9664,11681,13216,12097,11748,13889,11741,9685,8428,6956,4681
England and Wales District,E07000175,Newark and Sherwood,94436,7004,6061,5971,5785,7216,8857,8974,8143,7351,8214,6722,5251,4069,3014,1804
England and Wales District,E08000021,Newcastle upon Tyne,233228,22396,36012,22948,18053,16697,17222,17956,16629,14367,14133,10289,9091,7857,6000,3578
England and Wales District,E07000195,Newcastle-under-Lyme,103318,8535,9545,6937,6708,7642,8919,9166,8209,7615,8434,6620,5410,4431,3202,1945
England and Wales District,E09000025,Newham,241410,20411,32586,40437,31895,23485,21222,17479,14731,10807,8533,5992,5469,4055,2741,1567
England and Wales District,W06000022,Newport,117201,9881,10041,9406,9161,8860,10798,10670,9356,7803,8507,6769,5775,4677,3382,2115
