Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E09000029,Sutton,153265,11487,10657,13185,14303,14737,15413,14928,12274,10045,10366,7563,6222,5345,4103,2637
England and Wales District,E07000113,Swale,109421,8710,7790,8180,7775,8495,10072,10502,8979,7986,9224,7180,5511,4168,3105,1744
England and Wales District,W06000011,Swansea,198320,16049,20520,15559,14389,14713,15929,16301,15156,13856,14976,12048,10108,8636,6265,3815
England and Wales District,E06000030,Swindon,169188,12424,12859,15075,15172,16297,16869,16371,13822,11634,10990,8453,6707,5633,4266,2616
England and Wales District,E08000008,Tameside,178043,13987,13744,14320,13588,14467,16827,17066,14721,12613,13867,10526,8518,6456,4521,2822
England and Wales District,E07000199,Tamworth,62055,4792,4744,5181,4845,5408,5911,5511,5048,4850,4987,3733,2777,2032,1428,808
England and Wales District,E07000215,Tandridge,67132,4984,3997,3905,4572,5281,6402,6789,5900,5209,5612,4499,3391,2807,2367,1417
England and Wales District,E07000190,Taunton Deane,90409,7222,6226,6047,5877,6628,7739,8077,7442,6915,7504,6048,4776,4152,3495,2261
England and Wales District,E07000045,Teignbridge,103618,7157,5694,5432,5617,6646,8694,9713,8671,8609,9980,8397,6352,5357,4302,2997
England and Wales District,E06000020,Telford and Wrekin,133787,11496,10863,10888,10334,11145,12850,12653,10502,9866,10010,7934,5994,4439,3042,1771
England and Wales District,E07000076,Tendring,115127,7970,6709,5672,5578,6856,8732,9434,8825,8725,11348,10221,8607,7185,5612,3653
England and Wales District,E07000093,Test Valley,94963,7081,5694,5399,5988,7712,8966,9706,8392,7316,8323,6640,4995,4013,2912,1826
England and Wales District,E07000083,Tewkesbury,67560,4468,4088,4023,4437,5263,6280,6522,5754,5251,5717,4835,4001,3083,2322,1516
England and Wales District,E07000114,Thanet,108615,8593,7396,7320,6813,7347,8932,9346,8461,8080,9581,7908,6401,5238,4333,2866
England and Wales District,E07000102,Three Rivers,70175,5299,4357,4716,5412,6124,6733,7164,6000,5137,5314,4001,3326,3007,2160,1425
England and Wales District,E06000034,Thurrock,124738,9853,9804,11162,11808,12200,12558,11535,9453,8387,8739,5996,4742,3784,2873,1844
England and Wales District,E07000115,Tonbridge and Malling,96665,8078,5841,5804,6599,8450,9831,9668,8330,6900,7593,6088,4953,4033,2917,1580
England and Wales District,E06000027,Torbay,109019,7569,6779,6700,6140,7060,8855,9547,8809,8418,10169,8594,6970,5804,4415,3190
England and Wales District,W06000020,Torfaen,74302,6078,5588,5574,5069,5183,6457,6854,6189,5639,6040,4837,3807,3221,2347,1419
England and Wales District,E07000046,Torridge,53444,3631,3025,2634,2891,3318,4294,4681,4508,4579,5559,4687,3480,2819,2032,1306
England and Wales District,E09000030,Tower Hamlets,206079,14623,30818,40157,33028,21539,15678,11778,9736,7823,5863,4140,4029,3204,2407,1256
England and Wales District,E08000009,Trafford,181922,13526,11776,13764,15010,16430,17781,18223,15281,12722,12814,9759,8566,7240,5659,3371
England and Wales District,E07000116,Tunbridge Wells,91992,7204,5575,6809,6974,8113,9191,9071,7652,6401,7029,5487,4157,3545,2948,1836
England and Wales District,E07000077,Uttlesford,63809,5047,3601,3602,4195,5147,6412,6672,5981,4961,5330,4196,3066,2485,1921,1193
England and Wales District,E07000180,Vale of White Horse,98410,7417,5927,6959,7332,7899,8946,9404,8418,7440,7980,6317,5054,4205,3133,1979
England and Wales District,E08000036,Wakefield,267717,20019,19566,20773,18597,21324,25390,25157,22633,20053,21221,16902,13440,10611,7527,4504
England and Wales District,E08000030,Walsall,215022,17667,17504,17690,16184,16906,19503,19087,16464,14672,15221,13227,11439,9194,6558,3706
England and Wales District,E09000031,Waltham Forest,204930,15241,20604,26508,24168,21112,20243,17340,14321,11301,9783,7231,6182,4967,3662,2267
England and Wales District,E09000032,Wandsworth,256892,12403,23699,47217,41740,29521,22542,18100,14088,11351,10658,7710,6745,5126,3637,2355
England and Wales District,E06000007,Warrington,164844,12507,12088,12503,12185,14120,16022,16591,13569,11828,12441,9980,8218,6007,4287,2498
England and Wales District,E07000222,Warwick,114307,8025,11623,9321,9220,9552,10083,10131,8571,7707,8190,6711,5171,4280,3445,2277
England and Wales District,E07000103,Watford,72271,5302,5711,8053,8141,7315,7013,6409,5361,4385,3996,3143,2600,2153,1676,1013
England and Wales District,E07000206,Waveney,95272,6754,5963,5714,5470,6374,7807,7819,7322,7100,8930,7714,6287,5319,4114,2585
England and Wales District,E07000216,Waverley,97666,7910,5101,5248,6384,8348,9333,9432,8300,7255,8036,6710,5251,4585,3405,2368
England and Wales District,E07000065,Wealden,122370,8808,6306,6161,6132,8046,10780,11842,10606,9846,11615,9944,7634,6450,5020,3180
England and Wales District,E07000156,Wellingborough,60738,4397,4018,4645,4688,5250,5790,5610,4855,4577,5085,3921,2882,2250,1701,1069
England and Wales District,E07000104,Welwyn Hatfield,90773,8227,11436,7765,7152,6807,7483,7790,6871,5672,5500,4310,3774,3545,2786,1655
England and Wales District,E06000037,West Berkshire,123804,9633,7341,8506,9306,11109,12595,12486,10965,9506,9753,7406,5543,4337,3253,2065
England and Wales District,E07000047,West Devon,44642,2981,2394,2244,2356,2788,3594,4311,3932,3815,4487,3835,2844,2238,1704,1119
England and Wales District,E07000052,West Dorset,83297,5871,4300,3607,3876,4932,6400,7371,6898,6951,8343,7328,5773,5069,3958,2620
Scotland District,S12000039,West Dunbartonshire,75900,5800,5800,5800,5200,5500,6900,7400,6900,6000,5700,4400,3700,3000,3800,0
England and Wales District,E07000127,West Lancashire,91268,7724,7196,5447,5051,6661,8008,8545,7731,6943,7886,6470,5294,4020,2734,1558
England and Wales District,E07000142,West Lindsey,74199,5643,4141,3915,4032,4943,6601,7193,6576,6218,7068,5963,4444,3524,2537,1401
Scotland District,S12000040,West Lothian,142100,11100,10400,10800,10900,12900,14700,14500,12300,10300,10400,8000,6300,4600,4900,0
England and Wales District,E07000181,West Oxfordshire,85618,5998,5308,6043,6162,6979,8068,8428,7184,6223,6947,5685,4428,3619,2790,1756
England and Wales District,E07000191,West Somerset,29679,1799,1744,1549,1272,1376,1968,2342,2413,2554,3113,2852,2302,1901,1473,1021
England and Wales District,E09000033,Westminster,187330,9997,17490,27498,26721,20677,16716,13990,11582,9998,9205,7190,6017,4786,3421,2042
England and Wales District,E07000053,Weymouth and Portland,54371,3895,3888,3394,3363,3669,4561,4848,4589,4295,4916,4056,3124,2541,1990,1242
England and Wales District,E08000010,Wigan,260136,19570,19310,20174,19030,21461,25621,24750,20778,18312,21199,17181,13138,9541,6389,3682
England and Wales District,E06000054,Wiltshire,381896,29197,24720,25471,25078,30389,36130,36817,32734,28863,31246,25135,19935,16189,12267,7725
England and Wales District,E07000094,Winchester,95351,8134,7517,5635,6231,7491,8288,8899,7985,6934,7672,6193,4971,4046,3286,2069
England and Wales District,E06000040,Windsor and Maidenhead,116502,8343,7111,8841,9678,10626,11645,11195,9379,8161,8692,6943,5481,4617,3547,2243
England and Wales District,E08000015,Wirral,261734,19863,18069,17939,17112,19161,22719,24360,22395,20263,21740,17035,14284,12018,9295,5481
England and Wales District,E07000217,Woking,79540,5320,4961,6812,7803,8103,7687,7418,6494,5443,5455,4090,3290,2883,2254,1527
England and Wales District,E06000041,Wokingham,124008,9487,7428,8071,9782,11499,12460,12780,11173,9163,9426,7337,5715,4637,3154,1896
England and Wales District,E08000031,Wolverhampton,201418,16728,17988,17947,16436,16744,18219,17370,14949,13255,12981,10853,9712,8146,6322,3768
England and Wales District,E07000237,Worcester,80705,6575,7417,7080,6939,7028,7463,7248,6029,5444,5560,4248,3452,2901,2016,1305
England and Wales District,E07000229,Worthing,85577,5659,5497,6013,6415,6938,7933,7919,6775,5852,6576,5344,4597,3986,3569,2504
England and Wales District,W06000006,Wrexham,109643,8043,8439,8825,8212,8813,9971,9725,8640,8285,8858,7126,5390,4256,3202,1858
England and Wales District,E07000238,Wychavon,97319,6719,5361,5368,5455,6872,8866,9340,8323,8088,9094,7491,5966,4603,3529,2244
England and Wales District,E07000007,Wycombe,137787,10828,10404,10615,11127,11989,13274,12770,10900,9930,9954,8192,6405,5358,3796,2245
England and Wales District,E07000128,Wyre,90604,6563,5387,4869,4794,5500,7422,7968,7505,6956,8162,7347,6474,5207,4021,2429
England and Wales District,E07000239,Wyre Forest,81498,5534,5142,5271,5071,6061,7351,7129,6161,6345,7804,6692,4912,3718,2634,1673
England and Wales District,E06000014,York,166657,14097,19746,14159,12552,12510,13756,13697,12017,10649,11716,9122,7807,6589,5040,3200
